symptoms,disease,precautions,medicine
"sneezing, itchy eyes, sore throat",Typhoid,"antibiotics, boiled water, rest",Ciprofloxacin
"nausea, depression, rash, runny nose, fatigue, vomiting",Dengue,"fluids, paracetamol, avoid NSAIDs",Paracetamol
"depression, shortness of breath, itchy eyes, cough, vomiting",COVID-19,"isolation, mask, consult doctor",Favipiravir
"tingling, sneezing, blurred vision, joint pain",Typhoid,"antibiotics, boiled water, rest",Ciprofloxacin
"fever, depression, loss of smell, blurred vision, anxiety",Malaria,"mosquito nets, antimalarial drugs, rest",Chloroquine
"sneezing, anxiety, loss of taste, insomnia",Typhoid,"antibiotics, boiled water, rest",Ciprofloxacin
"itchy eyes, cough, chest pain, blurred vision, diarrhea",Pneumonia,"antibiotics, rest, fluids",Azithromycin
"vomiting, tingling, diarrhea, loss of taste, chills",Typhoid,"antibiotics, boiled water, rest",Ciprofloxacin
"muscle pain, loss of taste, swollen glands",Common Cold,"rest, stay hydrated, use humidifier",Paracetamol
"cough, sweating, itchy eyes, insomnia, loss of smell, nausea",Migraine,"dark room, pain relievers, avoid triggers",Ibuprofen
"vomiting, rash, chest pain, diarrhea",Common Cold,"rest, stay hydrated, use humidifier",Paracetamol
"diarrhea, loss of taste, sore throat, headache",Flu,"rest, fluids, antiviral medication",Oseltamivir
"sore throat, fever, blurred vision, chills, joint pain",Malaria,"mosquito nets, antimalarial drugs, rest",Chloroquine
"irritability, insomnia, sweating",Malaria,"mosquito nets, antimalarial drugs, rest",Chloroquine
"tingling, fever, nausea",Asthma,"inhaler, avoid smoke, monitor symptoms",Salbutamol
"fever, depression, anxiety, loss of smell, chills, sore throat",Food Poisoning,"drink ORS, avoid solid food, rest",ORS Sachets
"abdominal pain, chills, joint pain, tingling, sneezing, chest pain",Food Poisoning,"drink ORS, avoid solid food, rest",ORS Sachets
"loss of smell, sore throat, cough, blurred vision, shortness of breath, diarrhea",Food Poisoning,"drink ORS, avoid solid food, rest",ORS Sachets
"runny nose, itchy eyes, fever, diarrhea, chest pain, insomnia",Asthma,"inhaler, avoid smoke, monitor symptoms",Salbutamol
"runny nose, cough, shortness of breath, fatigue, sore throat",Allergy,"antihistamines, avoid allergens, clean environment",Cetirizine
"insomnia, fatigue, joint pain, sweating, chest pain, shortness of breath",Dengue,"fluids, paracetamol, avoid NSAIDs",Paracetamol
"dizziness, chills, diarrhea, shortness of breath",Malaria,"mosquito nets, antimalarial drugs, rest",Chloroquine
"chills, back pain, rash, irritability, headache, swollen glands",Malaria,"mosquito nets, antimalarial drugs, rest",Chloroquine
"nausea, vomiting, itchy eyes, chills, insomnia",Dengue,"fluids, paracetamol, avoid NSAIDs",Paracetamol
"sweating, cough, itchy eyes, rash",Typhoid,"antibiotics, boiled water, rest",Ciprofloxacin
"abdominal pain, tingling, muscle pain, blurred vision",COVID-19,"isolation, mask, consult doctor",Favipiravir
"chest pain, runny nose, joint pain, rash, tingling",Common Cold,"rest, stay hydrated, use humidifier",Paracetamol
"fever, headache, diarrhea, runny nose, sweating, loss of taste",Pneumonia,"antibiotics, rest, fluids",Azithromycin
"abdominal pain, joint pain, muscle pain, headache, fever",Chickenpox,"calamine lotion, rest, oatmeal baths",Acyclovir
"nausea, insomnia, rash, joint pain, cough, runny nose",Dengue,"fluids, paracetamol, avoid NSAIDs",Paracetamol
"fatigue, rash, chills",Pneumonia,"antibiotics, rest, fluids",Azithromycin
"rash, joint pain, depression, chills, blurred vision",Asthma,"inhaler, avoid smoke, monitor symptoms",Salbutamol
